"site","burial","age","section","half_A_B","half_C_D","element_1","total_element"
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","CB",19
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","LB",13
"VFT","29","Non-adult ","central","half_A","half_D","T",1
"VFT","29","Non-adult ","central","half_A","half_D","CB",1
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","CB",19
"VFT","29","Non-adult ","central","half_A","half_C","LB",6
"VFT","29","Non-adult ","central","half_A","half_C","LB",6
"VFT","29","Non-adult ","central","half_A","half_C","LB",6
"VFT","29","Non-adult ","central","half_A","half_C","LB",6
"VFT","29","Non-adult ","central","half_A","half_C","LB",6
"VFT","29","Non-adult ","central","half_A","half_C","LB",6
"VFT","29","Non-adult ","central","half_A","half_C","T",5
"VFT","29","Non-adult ","central","half_A","half_C","T",5
"VFT","29","Non-adult ","central","half_A","half_C","T",5
"VFT","29","Non-adult ","central","half_A","half_C","T",5
"VFT","29","Non-adult ","central","half_A","half_C","T",5
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","CB",17
"VFT","29","Non-adult ","central","half_B","half_C","LB",5
"VFT","29","Non-adult ","central","half_B","half_C","LB",5
"VFT","29","Non-adult ","central","half_B","half_C","LB",5
"VFT","29","Non-adult ","central","half_B","half_C","LB",5
"VFT","29","Non-adult ","central","half_B","half_C","LB",5
"VFT","29","Non-adult ","central","half_B","half_C","SB",2
"VFT","29","Non-adult ","central","half_B","half_C","SB",2
"VFT","29","Non-adult ","central","half_B","half_C","SB",3
"VFT","29","Non-adult ","central","half_B","half_C","SB",3
"VFT","29","Non-adult ","central","half_B","half_C","SB",3
"VFT","29","Non-adult ","central","half_B","half_C","SB",2
"VFT","29","Non-adult ","central","half_B","half_C","SB",2
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","CB",25
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",11
"VFT","29","Non-adult ","central","half_B","half_D","LB",1
"VFT","29","Non-adult ","central","half_B","half_D","SB",4
"VFT","29","Non-adult ","central","half_B","half_D","SB",4
"VFT","29","Non-adult ","central","half_B","half_D","SB",4
"VFT","29","Non-adult ","central","half_B","half_D","SB",4
"VFT","29","Non-adult ","central","half_B","half_D","SB",1
"VFT","29","Non-adult ","central","half_A","half_D","CB",6
"VFT","29","Non-adult ","central","half_A","half_D","CB",6
"VFT","29","Non-adult ","central","half_A","half_D","CB",6
"VFT","29","Non-adult ","central","half_A","half_D","CB",6
"VFT","29","Non-adult ","central","half_A","half_D","CB",6
"VFT","29","Non-adult ","central","half_A","half_D","CB",6
"VFT","29","Non-adult ","central","half_A","half_D","LB",3
"VFT","29","Non-adult ","central","half_A","half_D","LB",3
"VFT","29","Non-adult ","central","half_A","half_D","LB",3
"VFT","29","Non-adult ","central","half_A","half_D","T",3
"VFT","29","Non-adult ","central","half_A","half_D","T",3
"VFT","29","Non-adult ","central","half_A","half_D","T",3
"VFT","29","Non-adult ","central","half_A","half_D","CB",1
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
