site,burial,sex,age,layer,section,quadrant,half_A_B,half_C_D,component,element_1,element_2,bone,area,side,P1,P2,P3,mosaic,longitudinal,transversal,curved,bulls_eye,deformation,twisting,concretion,red_brown,yellow,green,manganese,cm_0_1,cm_1_2,cm_2_3,cm_3_4,cm_4_5,over_cm_5,weight_gr,total_element,total_urn,total_section,total_half_A_B,total_half_C_D
VFT,29,ND,Non-adult (3-5 yrs),2,central,5,half_A,half_C,F,T,R,I,I,I,,,5,,,,3,,,,,,,,,2,3,,,,,0.51,5,826,304,168,215
VFT,29,ND,Non-adult (3-5 yrs),2,central,5,half_A,half_C,S,SB,I,I,I,I,,,1,,,,1,,,,,,,,,,,,,,,0.13,0,826,304,168,215
VFT,29,ND,Non-adult (3-5 yrs),2,central,6,half_B,half_C,F,CB,Cr,I,I,I,,,17,3,,,1,,1,,,1,,,1,10,6,1,,,,2.45,17,826,304,249,215
VFT,29,ND,Non-adult (3-5 yrs),2,central,6,half_B,half_C,C,LB,D,I,I,I,,,5,,,,,,,,,,,,,,5,,,,,0.4,5,826,304,249,215
VFT,29,ND,Non-adult (3-5 yrs),2,central,6,half_B,half_C,S,SB,I,I,I,I,,,2,,,,,,,,,,,,,2,,,,,,0.13,2,826,304,249,215
VFT,29,ND,Non-adult (3-5 yrs),2,central,6,half_B,half_C,S,SB,I,I,I,I,,3,,,,,,,,,,,,,,3,,,,,,0.15,3,826,304,249,215
VFT,29,ND,Non-adult (3-5 yrs),2,central,6,half_B,half_C,S,SB,I,I,I,I,,,2,,,,,,,,,,,,1,2,,,,,,0.13,2,826,304,249,215
VFT,29,ND,Non-adult (3-5 yrs),2,central,7,half_B,half_D,F,CB,Cr,I,I,I,,,25,5,,,,,3,,,5,,,2,6,16,3,,,,3.95,25,826,304,249,202
VFT,29,ND,Non-adult (3-5 yrs),2,central,7,half_B,half_D,C,LB,D,I,I,I,,,11,,,,,,,,,2,,,,6,5,,,,,0.69,11,826,304,249,202
VFT,29,ND,Non-adult (3-5 yrs),2,central,7,half_B,half_D,C,LB,D,I,I,I,,1,,,,,,,,,,1,,,,1,,,,,,0.06,1,826,304,249,202
VFT,29,ND,Non-adult (3-5 yrs),2,central,7,half_B,half_D,S,SB,I,I,I,I,,,4,,,,,,,,,,,,,4,,,,,,0.25,4,826,304,249,202
VFT,29,ND,Non-adult (3-5 yrs),2,central,7,half_B,half_D,S,SB,I,I,I,I,,,1,,,,,,,,,,,,,,1,,,,,0.31,1,826,304,249,202
VFT,29,ND,Non-adult (3-5 yrs),2,central,8,half_A,half_D,F,CB,Cr,I,I,I,,,6,2,,,,,,,,,,,1,3,3,,,,,1.01,6,826,304,168,202
VFT,29,ND,Non-adult (3-5 yrs),2,central,8,half_A,half_D,C,LB,D,I,I,I,,,3,,,,,,,,,,,,,,3,,,,,0.21,3,826,304,168,202
VFT,29,ND,Non-adult (3-5 yrs),2,central,8,half_A,half_D,F,T,R,I,I,I,,,3,,,,,,,,,,,,,1,2,,,,,0.32,3,826,304,168,202
VFT,29,ND,Non-adult (3-5 yrs),2,central,8,half_A,half_D,T,CB,B,M,I,I,,,1,,,,,,,,,,,,,1,,,,,,0.03,1,826,304,168,202
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,F,CB,Cr,I,I,I,,,27,9,,,,,2,,,6,,,1,7,18,2,,,,5.4,27,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,C,LB,D,I,I,I,,,12,,,,,,,,,,,,1,3,7,2,,,,1.2,12,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,C,LB,D,I,I,I,,3,,,,,,,,,,,1,,,1,2,,,,,0.55,3,826,304,,
